지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
서울특별시,수유동주유소,서울특별시 강북구  도봉로 395 (수유동),GS칼텍스,29029470,Y,,1646,1456,1000
서울특별시,동원주유소,서울특별시 강북구  삼양로 316 (수유동),SOIL,29828544,N,,1669,1449,
서울특별시,에덴주유소,서울 강북구 월계로 195 (번동),SK에너지,29878182,Y,,1676,1476,
서울특별시,(주)에프알엔디 직영 송정주유소,서울특별시 강북구 인수봉로 185 (수유동),SK에너지,29935189,N,,1677,1477,
서울특별시,새한주유소,서울특별시 강북구  도봉로 75 (미아동),SK에너지,29854382,Y,1898,1678,1498,
서울특별시,세원주유소,서울 강북구 한천로 918 (번동),SK에너지,29076890,Y,,1678,1478,1150
서울특별시,현대오일뱅크(주)직영미아셀프주유소,서울특별시 강북구  도봉로 200 (미아동),현대오일뱅크,29457999,Y,1849,1679,1489,
서울특별시,태창에너지 좋은기름주유소,서울특별시 강북구  덕릉로 158 (번동),SOIL,29899806,N,,1679,1479,
서울특별시,현대오일뱅크(주)직영 번동셀프주유소,서울 강북구 한천로 963 (번동),현대오일뱅크,29923331,Y,,1679,1489,
서울특별시,지에스이앤알 직영 미아주유소,서울특별시 강북구  도봉로 122 (미아동),GS칼텍스,29875152,Y,1890,1683,1484,
서울특별시,대성석유(주)신광주유소,서울 강북구 삼양로 484 (수유동),GS칼텍스,29083320,N,,1687,1487,1200
서울특별시,SK매일주유소,서울특별시 강북구  삼양로 217 (미아동),SK에너지,29828855,Y,,1738,1538,
서울특별시,극동유화(주)항동주유소,서울특별시 구로구 서해안로 2154 (항동),SOIL,226111113,Y,,1657,1467,
서울특별시,처음처럼주유소,서울 구로구 오리로 1299 (궁동),SOIL,226115051,N,,1665,1469,950
서울특별시,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,28615189,Y,,1666,1475,
서울특별시,시몬주유소,서울특별시 구로구 부일로 871 (온수동),SOIL,226183929,N,,1667,1467,
서울특별시,풀페이주유소,서울특별시 구로구 경인로 41 (온수동),SK에너지,226137708,N,,1668,1468,
서울특별시,신성주유소,서울특별시 구로구  구로동로 187 (구로동),SK에너지,28665189,Y,,1676,1486,
서울특별시,JHC에너지,서울특별시 구로구  시흥대로 539 (구로동),알뜰주유소,28669553,N,,1687,1497,1050
서울특별시,개봉주유소,서울특별시 구로구  고척로 115 (개봉동),현대오일뱅크,226185145,Y,,1687,1497,1100
서울특별시,정은주유소,서울 구로구 경인로 407 (고척동),현대오일뱅크,226115184,N,,1687,1497,1150
서울특별시, 현대오일뱅크㈜ 직영 구로셀프주유소,서울특별시 구로구  시흥대로 531 (구로동),현대오일뱅크,28561135,Y,,1699,1519,
서울특별시,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),GS칼텍스,226337188,N,1856,1716,1516,
서울특별시,구로시몬주유소,서울 구로구 경인로 290 (개봉동),SOIL,226165189,N,,1717,1527,
서울특별시,동선주유소,서울 구로구 경인로 150 (오류동),GS칼텍스,226831126,N,,1727,1527,
서울특별시,SK구로주유소,서울 구로구 구일로 94 (구로동),SK에너지,28685758,N,,1728,1528,1250
서울특별시,영진주유소,서울특별시 구로구  구로동로 20 (가리봉동),SOIL,28616625,N,,1728,1498,
서울특별시,근린공원주유소,서울특별시 구로구 고척로 199 (고척동),SOIL,220663700,N,,1745,1545,1100
서울특별시,(주)새서울석유대원셀프주유소,서울 구로구 개봉로 7 (개봉동),SK에너지,226123880,Y,,1758,1558,1180
서울특별시,신오류 주유소,서울 구로구 경인로 161 (오류동),SK에너지,226874186,N,,1789,1597,
서울특별시,(주)유공 구인주유소,서울특별시 구로구 경인로 558  (구로동),SK에너지,226775010,N,,1828,1628,1210
서울특별시,동아주유소,서울특별시 구로구  도림로 91 (구로동),SOIL,28551282,N,,1878,1578,1200
서울특별시,구로주유소,서울특별시 구로구  구로동로 137 (구로동),GS칼텍스,25871251,N,,2186,1986,1376
서울특별시,(주)진우에너지 백운주유소,서울 금천구 시흥대로 282 (독산동),GS칼텍스,28948521,N,,1654,1464,1150
서울특별시,구광주유소,서울특별시 금천구  서부샛길 674 (가산동),SOIL,28686889,N,,1655,1455,950
서울특별시,대득에너지(금천셀프주유소),서울특별시 금천구  시흥대로 81 (시흥동),GS칼텍스,28057888,Y,,1655,1465,
서울특별시,명보주유소,서울 금천구 시흥대로 377 (독산동),알뜰주유소,28068336,N,,1655,1465,
서울특별시,일신주유소,서울특별시 금천구  시흥대로118,GS칼텍스,28965145,Y,1799,1667,1590,1100
서울특별시,(주)태영유업 독산고개,서울특별시 금천구 시흥대로 484 (독산동),현대오일뱅크,28560283,Y,,1673,1483,1150
서울특별시,경복에너지주유소,서울특별시 금천구  독산로 147 (시흥동),현대오일뱅크,28915189,N,,1675,1485,
서울특별시,남서울경복에너지,서울 금천구 독산로 257 (독산동),SOIL,28559880,Y,,1675,1485,1200
서울특별시,KH에너지(주)직영시흥대로주유소,서울시 금천구 시흥대로 221 (시흥동),SK에너지,28925156,N,,1678,1488,1100
서울특별시,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),SOIL,28073161,Y,,1695,1497,
서울특별시,SK에너지(주) 박미주유소,서울 금천구 시흥대로 397 (시흥동),SK에너지,28026749,N,,1750,1560,1267
